devices,user_count
Samsung SM-G531F Galaxy Grand Prime,22028
Samsung SM-G935F Galaxy S7 Edge,22019
Lenovo K50a40 K3 Note,21730
Samsung SM-G7102 Galaxy Grand 2,21310
Lenovo K8 Plus,20970
Samsung GT-I9060I Galaxy Grand Neo,20817
LYF LS-5016 Wind 7,20788
Gionee Pioneer P5L (2016),20640
Apple iPad,20466
Lenovo A6020a46 Vibe K5 Plus,20341
Lenovo A6020a40 Vibe K5 Plus,20127
Motorola Moto G (5) Plus,19410
OPPO CPH1725 F5 Youth,18977
Samsung SM-J320F Galaxy J3,18907
Lenovo K8 Note,18376
Samsung SM-G360H Galaxy Core Prime,18332
Motorola MotoG3,18099
OPPO F1f,18098
Nokia TA-1032 3,17999
Vivo Y21,17668
OPPO CPH1605 A39,17629
Samsung SM-J730G Galaxy J7 Pro,17455
Lava Z60,17016
Gionee A1,16829
Xiaomi Redmi 3 Redmi 3,16297
LYF LS-4505 FLAME 8,15166
Asus X014D Zenfone Go 4.5,15002
OnePlus A3003 3,14754
OPPO A1603 Neo 7,14678
Gionee P7 Max,14540
Samsung SM-J330G Galaxy J3 2017,14440
Gionee S6s,14307
Lenovo P1ma40 Vibe P1m,14084
Samsung SM-G950F Galaxy S8,14019
Samsung SM-C900F C9 pro,13994
Gionee P5W Pioneer P5W,13887
OnePlus A5000 5,13562
YU YU5010 Yuphoria,13414
Samsung GT-I9082 Galaxy Grand Duos,13157
OPPO CPH1613,13041
Vivo 1612 V5s,13016
Samsung SM-A520F Galaxy A5 (2017),12944
Samsung SM-G531H Galaxy Grand Prime,12874
Huawei BLN-L22 Honor 6X,12850
Samsung SM-A510F Galaxy A5 2016 Duos,12581
Xiaomi MI MAX 2,12515
Coolpad 3600I Note 5,12458
Smartfren Andromax A16C3H,12372
Samsung SM-G570Y J5 Prime,12328
LeTV Le X526 Le 2,12315
Samsung SM-J110G Galaxy J1,12263
Lenovo A6600d40 A6600,12096
Lenovo K53a48 K6 Note,11949
Lenovo A2010-a A2010,11894
Samsung SM-G955F Galaxy S8+,11810
OPPO X9009 F1 Plus,11743
Vivo 1611 V5 Plus,11693
Samsung SM-J105H J1 mini,11477
Lenovo A7000,11191
Samsung SM-G532F Galaxy Grand Prime+,11150
Samsung SM-A710F Galaxy A7 (2016),11016
Xiaomi Mi Max,10761
Samsung GT-I9060 Galaxy Grand Neo,10606
Nokia TA-1053 5,10532
Asus Z007 Zenfone C,10511
Nokia TA-1021 6,10118
Samsung SM-A500G Galaxy A5,10013
Samsung SM-G930F Galaxy S7,9905
Asus Z00LD Zenfone 2 Laser,9863
Motorola Moto G Play Moto G4 Play,9859
Gionee P5 mini,9661
Samsung SM-G313HZ Galaxy Ace NXT,9645
Gionee M5_lite M5 Lite,9643
Tecno i3,9468
Xiaomi Redmi Note 4X,9413
Gionee F103,9382
OnePlus A5010 5T,9294
Samsung SM-E700H Galaxy E7,9229
Xiaomi Mi 4i,9227
Samsung SM-C701F Galaxy C7 Pro Duos,9196
Samsung SM-J530Y J5 2017,9169
Coolpad CP8298_I00 Note 3 Lite,9154
Samsung GT-I8262 Galaxy Duos,9136
Motorola Moto E(4),8957
Sharp X1 Android One X1 for Y!mobile,8904
Motorola XT1663 Moto M,8656
Asus T00F Zenfone 5,8407
Asus X008DA Zenfone 3 Max,8395
LeEco Le X509 Le 1s,8320
Micromax A106 Unite 2,8158
LYF LS-5020,8140
Micromax C1 Canvas 1,8050
Samsung GT-S7582 Galaxy S Duos 2,7902
Xiaomi Redmi Note 2 Redmi Note 2,7868
Lava A97,7798
Samsung SM-N950W Galaxy Note8,7786
OPPO CPH1727 F5,7664
Motorola Moto C,7586
Samsung GT-N7100 Galaxy Note II,7578
Gionee P7,7559
Samsung SM-E500H Galaxy E5,7483
Lenovo A1000,7447
Panasonic Eluga I2,7409
Micromax YU4711 YU Yunique,7379
Panasonic P55 Novo,7373
Xiaomi Note 1LTE Redmi Note 4G,7323
LYF LS-4503 Flame 1,7283
Motorola MotoG3-TE,7269
Motorola XT1562 Moto X Play,7178
LYF LS-5017 Water 11,7170
Micromax HS2 Canvas Infinity,7141
LeTV X507 Le 1S,7131
Samsung SM-J710FN Galaxy J7 (2016),7034
Asus T00J Zenfone 5,6997
Motorola XT1068 Moto G (2nd Gen),6924
Samsung SM-N900 Galaxy Note 3,6924
HTC Desire 526G+,6916
Asus Z00UD Zenfone Selfie,6859
Samsung GT-I9500 Galaxy S IV,6583
Huawei TIT-AL00 Enjoy 5,6522
Samsung SM-A720F A7 (2017),6444
Samsung SM-A910F Galaxy A9 Pro,6362
Samsung SM-G615FU Galaxy J7 Max,6354
Xiaomi HM 1S,6292
Xiaomi HM NOTE 1S Redmi Note,6291
Samsung SM-G318HZ Galaxy Ace 4 Neo,6282
Coolpad C103 Cool 1,6248
Advan S4Z,6229
Nokia 2,6219
Lenovo K50-a40 K3 Note,6206
Vivo Y31L,6175
Samsung SM-A700FD Galaxy A7,6132
OPPO A11w Joy 3,6117
Micromax Q380 Canvas Spark,6081
HTC Desire 728 Desire 728G dual sim,6040
Gionee A1 lite,5912
Asus ASUS_Z00AD ZenFone 2,5870
Advan 5041,5772
Samsung SM-T285YD Galaxy Tab A 7.0 LTE,5754
Micromax AQ5001 Canvas Juice 2,5743
Xiaomi Redmi 2 2014817,5696
LYF LS-5018 Wind 4S,5577
Coolpad Y83-I00 Mega,5548
itel A41 Wish,5522
Infinix X572 NOTE 4,5437
Huawei RNE-L22 Mate 10 Lite,5413
Samsung SM-G925I Galaxy S6 Edge,5413
Samsung SM-N9005 Galaxy Note 3,5347
Samsung SM-A310F Galaxy A3,5325
Apple iPod Touch,5281
Lenovo ZUK Z2132 Z2 Plus,5276
HTC Desire 628,5262
Micromax Q427 Canvas Unite 4,5226
Samsung GT-I9300I Galaxy S III,5210
Samsung SM-T116NU Galaxy Tab 3V 3G,5126
Asus Z00VD Zenfone Go,5104
Samsung GT-S7270 Galaxy Ace 3,5075
Advan S5E_NXT,5070
Huawei LUA-U22 Y3II,5068
Samsung SM-N750 Note 3 Neo Duos,4990
Xiaomi 2014811 Hongmi (Redmi) 2 4G,4949
Coolpad 3505I Note 5 Lite,4916
Micromax YU5510A Yu Yureka Plus,4896
Huawei ALE-L21 P8 Lite,4884
Vivo V3Max,4862
Micromax Q372 Unite 3,4852
LYF LS-5002,4846
Samsung SM-G920F Galaxy S6,4832
Advan i5C,4830
Huawei CAM-L21 Y6 II,4794
Micromax Q417 Canvas Mega 4G,4791
Micromax Q413 Canvas Express 4G,4768
OnePlus ONE A2003 2,4700
Sony D2502 Xperia C3,4691
Asus Z00RD Zenfone 2 Laser,4664
Micromax Q426 Canvas Mega 2,4624
LYF LS-5009 Wind 6,4622
Infinix Hot 4 Pro,4620
Xiaomi Redmi 3X,4616
Micromax Q4310 Canvas 2 Q4310,4615
Samsung SM-J106B Galaxy J1 Mini Prime,4604
Lenovo A7700,4580
Coolpad CP8676_I02 Note 3,4570
Lenovo A6010,4566
Micromax Q465 Canvas Unite 4 Pro,4561
Samsung SM-A500F Galaxy A5,4505
LG LGM-M700 Q6,4492
Asus A007,4455
Lenovo Moto G (5S),4388
Huawei CAM-UL00 Honor 5A,4367
Micromax E311 Canvas Nitro 2,4363
Samsung SM-A800F Galaxy A8,4356
Micromax Q350 Canvas Spark 2 Plus,4340
Lava A97 IPS,4324
Samsung SM-G925F Galaxy S6 Edge,4314
HTC Desire 626 Dual Sim,4256
Motorola XT1033 Moto G,4190
Samsung SM-A300H Galaxy A3,4178
Samsung GT-I9300 Galaxy S III,4175
Vivo Y31,4118
Micromax A107 Canvas Fire 4,4106
Micromax E481 Canvas 5 E481,4081
Samsung SM-J200H Galaxy J2 (2015),4076
Karbonn A51W,4066
Panasonic Eluga A2,4048
Lava Iris X8 L,4037
Lephone W7,4027
Vivo V1,4023
Samsung SM-G900F Galaxy S5,4010
LYF LS-5505 F1,3995
Andromax A26C4H B,3973
HTC 620G Desire 620G,3969
Samsung SM-G900H Galaxy S5,3954
Lenovo A2020a40 Vibe C,3913
YU YU5530 Yunicorn,3902
OnePlus A0001 One,3884
Micromax Q402 Bharat 2,3881
LYF LS-5015,3869
itel A41 Plus,3862
Samsung SM-G130H Galaxy Young 2 Duos,3847
Micromax Q385 Canvas Spark 3,3801
Samsung GT-I8552 Galaxy Grand Quattro,3731
Asus Z00ED Zenfone 2 Laser,3721
Samsung GT-I9152 Galaxy Mega 5.8,3673
OPPO R1001 Joy,3655
Micromax A311 Canvas Nitro,3652
Samsung SM-C710F Galaxy C8,3641
LYF LS-5013 Wind 5,3556
Intex AQUA LIONS 4G,3555
Huawei Y541-U02 Honor Bee,3539
Vivo Y15S,3534
Huawei PRA-AL00X Honor 8 Lite,3528
Karbonn A40 Indian,3520
Micromax Q391 Canvas Doodle 4,3512
HTC Desire 828,3505
Samsung SM-J200F Galaxy J2 (2015),3502
Motorola XT1052 Moto X,3501
LYF LS-4006 Flame 7,3492
Xiaomi Mi 5,3489
Micromax Q4101 Bolt Warrior 1 Plus,3469
Ampe A77,3458
Samsung SM-G610M J7 Prime,3455
LYF LS-5504 Water 7,3453
Motorola E2,3433
Micromax E313 Canvas Xpress 2,3428
Advan Vandroid E1C 3G,3412
Gionee X1S,3371
Lenovo K8,3355
Samsung SM-N900A Galaxy Note 3,3352
OPPO R831K Neo 3,3336
Lava E-TAB IVORY,3296
Lenovo P1a42 Vibe P1,3280
Karbonn Smart 4G,3273
LG K420 K10 LTE,3246
HTC Desire 820G PLUS dual sim Desire 820G+,3241
Lenovo PB2-650M Phab 2,3199
Samsung SM-J500M Galaxy J5,3171
Micromax A102 Canvas Doodle 3,3134
Samsung SM-J730F Galaxy J7 Pro,3131
LG LG-M250 K10 2017,3127
Samsung SM-T231 Galaxy Tab 4 7.0,3119
Samsung SM-J120F Galaxy J1 2016,3105
Cubot P6,3090
Xiaomi HM NOTE 1W Redmi Note,3082
Huawei Hol-U19 Honor Holly,3044
LG F670S K10,3044
Samsung SM-G920I Galaxy S6,3025
Asus T00i Zenfone 4,3019
Samsung SM-G570M J5 Prime,3003
Samsung SM-J510F Galaxy J5 (2016),3002
Huawei CUN-L22 Y5ll,2980
Evercoss U50A Winner Y Star,2973
Samsung SM-J500H Galaxy J5,2973
Samsung SM-T355Y Galaxy Tab A,2973
Samsung SM-N9208 Galaxy Note 5,2972
Samsung SM-G7202 Galaxy Grand 3,2964
Sony E2115 Xperia E4,2955
Micromax Q4202 Bolt Warrior 2,2943
Comio S1,2929
Huawei MYA-L22 Y5 (2017),2909
Lenovo A536,2878
HTC Desire 816G,2854
itel A21 Wish,2829
Micromax Q461 Canvas Juice 4G,2820
Micromax Q440 Bharat 4,2812
LYF LS-5010 Wind 1,2789
Samsung GT-S7262 Galaxy Star S7262,2788
Xolo Era 2,2775
Samsung SM-T285 Galaxy Tab A 7.0 LTE,2769
Samsung SM-N910C Galaxy Note 4,2764
Samsung SM-G316HU Gakaxy S Duos 3,2758
Sony D5322 Xperia T2 Ultra,2745
Sony F3116 Xperia XA,2725
Vivo Y11,2724
Sony D2302 Xperia M2 Dual,2700
Xiaomi MI 4W,2685
Samsung SM-N920C Galaxy Note 5,2678
LYF LS-4008 FLAME 7S,2643
HTC Desire 626G PLUS Desire 626g+,2625
Sony C5503 Xperia ZR,2621
itel it1508 Wish,2607
Karbonn K9 Viraat 4G,2597
InFocus IF9001 Turbo 5,2587
Motorola XT1022 Moto E,2577
Motorola XT1635-02 Moto Z Play,2561
Huawei KIW-L22 Honor 5X,2555
Xiaomi Mi-4c Mi 4c,2548
Andromax B16C2G E2 Plus 4G,2539
Huawei Che1-L04 Honor 4X,2537
Gionee S6,2536
Tecno itel-it1520 it1520,2529
Huawei VNS-L31 P9 Lite,2505
Micromax E455 Canvas Nitro,2502
Tecno i3 Pro,2458
Coolpad 3503I Mega 3,2457
Xiaomi MI 4LTE,2453
Sony D5503 Xperia Z1 Compact,2448
Intex Aqua Power HD,2439
Asus X00GD,2427
Samsung SM-A800I Galaxy A8,2424
Micromax Q386 Canvas Fire 5,2423
Lenovo TB3-710I Tab3 7,2420
Samsung SM-G950 Galaxy S8,2402
Coolpad E502 Sky 3,2400
Micromax E353 Canvas Mega,2395
Vivo Y15,2390
Panasonic P55 Novo 4G,2389
Samsung SM-J710GN Galaxy J7 (2016),2386
Lava iris702,2378
Lava Pixel V2,2375
Xolo era1X,2374
LYF LS-5507 Water 7,2343
Panasonic ELUGA Ray X,2338
Intex AQUA LIONS 3,2333
Asus X00BD Zenfone Go,2329
Asus Z00SD Zenfone Go 4.5,2288
Panasonic Eluga Turbo,2255
Micromax Q345 Canvas Selfie Lens,2251
Lenovo A2016a40 B,2205
Intex Aqua Craze,2194
Micromax A120 Canvas 2 Colors,2191
Samsung SM-J3110 J3 Pro,2185
Asus X009DA Zenfone Go ZB450KL,2181
Lenovo ZUK Z1,2175
Vivo Y28,2172
LYF LS-6001 Wind 2,2164
Sony E2363 Xperia M4 Aqua Dual,2164
Samsung SM-J530F J5 2017,2160
Panasonic Eluga Note,2137
iNew M2,2133
Micromax E352 Canvas Nitro 3,2131
LYF LS-5201 Water F1s,2129
Micromax Q392 Canvas Juice 3,2125
Micromax Q424 Bolt Selfie,2120
Lenovo P2a42 P2,2114
LG K350 K8,2114
Micromax Q381 Bolt Q381,2110
Vivo Y35,2106
Intex Aqua S3,2099
Samsung SM-G955U Galaxy S8+,2083
Smartfren Andromax B26D2H L,2082
Samsung SM-G361H Galaxy Core Prime,2078
Micromax Q340 Canvas Selfie 2,2076
itel S41,2074
Micromax Q4001 Vdeo 1,2074
Google Nexus 5,2066
Gionee X1,2063
Coolpad CP8676_I03 Note 3 Plus,2061
Huawei CRO-L22 Y3 (2017),2053
Samsung GT-I9001 Galaxy S Plus,2052
Sony D6503 Xperia Z2,2041
Huawei WAS-LX1A P10 Lite,2037
Coolpad E570 Porto,2035
OPPO R1011 Joy Plus,2023
Micromax Q4251,2019
Intex Aqua Pro 4G,2015
Magicon M2 Elegante,2015
Lenovo P70-A,2013
Vivo Y51,2006
Samsung GT-I9301I Galaxy S III Neo+,2003
Asus X00ID Zenfone 4 Max,1996
Micromax A104 Canvas Fire,1995
Motorola Moto Z2 Play,1994
Samsung SM-T116NY Galaxy Tab 3V 3G,1986
Asus Z017DB Zenfone 3 ZE520KL,1975
Samsung SM-G313HU Galaxy Ace NXT,1968
Samsung SM-J710MN Galaxy J7 (2016),1959
Xiaomi 2014813 Hongmi 2 4G / Redmi 2 Dual SIM,1956
Sony F3216 Xperia XA Ultra,1936
Samsung GT-P3100 Galaxy Tab 2 7.0,1934
Huawei CHM-U01 Honor 4C,1933
Lenovo K10a40 Vibe C2,1929
LG K520 Stylus 2 Plus,1923
Lava X81,1921
Panasonic Eluga Ray 700,1920
OnePlus E1003 X,1909
Panasonic Eluga Arc 2,1903
Micromax Q346,1896
Asus X00AD Zenfone Go 5.0,1890
Lava X41 Plus,1889
Samsung GT-I8190 Galaxy S III Mini,1887
Micromax Q450 Canvas Sliver 5,1881
Andromax B16C2H,1879
LYF LS-5014 Wind 4,1879
Samsung SM-J320H Galaxy J3 Duos,1879
Advan i5E Glassy Gold 2,1859
Samsung SM-G532M Galaxy J2 Prime,1857
Sony E5563 C5 Ultra,1850
HTC Desire 826,1846
Panasonic P66,1841
YU AO5510 Yureka,1830
Samsung SM-J700M Galaxy J7 2015,1822
LG LG-K332 K7,1812
Allview P4 Alldro,1800
Meizu M5,1793
Huawei FRD-L02 Honor 8,1788
Micromax Q4311 Canvas Selfie 2 Q4311,1788
Huawei Y336-U02,1765
Lephone W2,1754
Gionee S6 Pro,1750
Sony D2212 Xperia E3 Dual,1749
Lenovo A7-30HC TAB 2,1743
Micromax Q349 Canvas Selfie 4,1722
Karbonn Aura Note 4G,1718
Cubot X17,1710
Intex AQUA LIONS 2,1710
Lenovo A1000M,1703
Sony C6903 Xperia Z1,1700
Micromax Q416 Canvas Pace 4G Q416,1695
Asus X00DDB Zenfone 3 Max,1679
Samsung SM-T111 Galaxy Tab 3 Lite,1668
Intex Aqua Power+,1666
Lava V188 Pixel V1,1664
Mpie Y12,1663
Sony Xperia D6653 Xperia Z3,1655
Sony G3116 Xperia XA1,1649
Lenovo TB3-710F Tab3 7,1648
Asus ASUS_Z008D ZenFone 2,1641
Huawei PRA-LX1 P8 Lite (2017),1637
Motorola XT1505 Moto E (2nd Gen),1636
Samsung SM-N920G Galaxy Note 5,1635
LYF LS-4508,1634
LeEco Le X821 Le Max 2,1623
Huawei TRT-L21A Y7 Prime,1614
Lava Flair Z1,1612
Samsung SM-N950U Galaxy Note8,1611
Xiaomi HM 1SW Redmi,1608
OPPO R11,1606
Gionee P3S,1605
Lava A44,1605
Huawei CUN-U29 Y5II,1603
Huawei PRA-LA1 P8 Lite (2017),1595
Vivo Y27L,1595
Asus X00LD Zenfone 4 Selfie ZD553KL,1573
HTC 820s HTC Desire,1570
LG LG-K220 X Power,1565
Samsung SM-G9550 Galaxy S8+,1551
Samsung SM-J200GU Galaxy J2 (2015),1548
BlackBerry Z10,1547
SPC L52,1542
Intex Aqua 5.5 VR,1531
Samsung GT-S6310 Galaxy Young,1530
Samsung SM-N910H Galaxy Note 4,1529
Coolpad Coolpad Y91-I00 Note 3S,1519
Huawei RNE-L21 Mate 10 Lite,1519
OPPO R2001 YoYo,1513
Intex Aqua Ace,1508
Motorola Moto X4,1507
Sony Xperia Z1,1503
Lava A82,1496
Samsung SM-N910G Galaxy Note 4,1496
Tecno i5 Pro,1496
Acer One 7,1494
Symphony i10,1492
Micromax Q352 Supreme 4,1489
Evercoss Winner A75 Y Max,1484
Samsung SM-T561 Galaxy Tab E,1482
Lava iris 820,1476
Samsung SM-T311 Galaxy Tab 3 8.0,1469
OPPO R827 Find 5,1454
Micromax Q463 Canvas 5 Lite Special Edition,1448
Panasonic Eluga I3,1448
Intex Aqua Young,1444
Micromax A177 Canvas Juice,1443
Samsung SM-G350E Star 2 Plus,1434
Advan S50D,1424
Micromax Q437 Bharat 3,1420
Huawei T1 7.0,1408
Micromax AQ4501 Canvas A1,1407
Reliance LYF Wind 3 LS-5502,1407
Panasonic P9,1400
Sony C2305 Xperia C,1400
HTC Desire 820,1395
itel itl1508 Plus,1392
Lenovo A369i,1383
Intex Cloud Style 4G,1379
Lava iris50,1374
HTC Desire 10 Pro,1371
Xiaomi 2014819 Redmi 2A,1364
Samsung SM-G610Y J7 Prime,1353
Lava A76Plus,1350
Micromax Q382 Canvas Spark,1350
Panasonic ELUGA Ray Max,1350
Samsung SM-T211 Galaxy Tab 3 7.0,1344
Samsung SM-J510GN Galaxy J5 (2016),1341
Micromax Q338 Bolt,1338
Asus T00G Zenfone 6,1331
Panasonic P55 Max,1331
Sony D6603 Xperia Z3,1328
LYF LS-4005 FLAME 6,1327
iBall Snap 4G2,1325
itel it1409 WISH it1409,1324
Asus ZE551ML ZenFone 2,1318
Lava A79,1314
Asus Z012DB Zenfone 3 ZE552KL,1313
Gionee M5 Plus,1313
Lava X50,1313
Panasonic ELUGA A3,1313
Asus X00LDB Zenfone 4 Selfie ZD553KL,1311
Micromax E485 Canvas 6,1308
Huawei DUK-L09 Honor 8 Pro,1307
Coolpad R108 Max Lite,1305
Xolo Era X,1302
LG MS210 Aristo,1294
Samsung GT-I9192 Galaxy S4 Mini,1292
Matricom G-Tab Quantum,1287
Asus X007D Zenfone Go 5.0,1286
Micromax A310 Canvas Nitro,1286
Samsung SM-G928G Galaxy S6 Edge Plus,1286
Lava V2 3GB,1280
Sony E5363 Xperia C4 Dual,1277
Karbonn Machfive Titanium Machfive,1269
Xolo Prime Prime,1260
HTC G1,1257
Micromax Q334 Canvas Spark 2,1250
Meizu M5c,1246
Samsung SM-T350 Galaxy Tab A,1246
Meizu m3 note m3 note,1245
Karbonn Titanium Vista 4G,1238
Lenovo S850,1231
HTC M8 One M8,1230
Huawei BLN-L21 Honor 6X,1230
Celkon Ufeel 4G,1222
Lava Iris Fuel F1,1222
OPPO F1fw,1219
OPPO R7kf R7 Lite,1215
Swipe Elite Sense,1214
Lava Iris X1 Grand,1208
Samsung SM-A510M Galaxy A5 2016 Duos,1204
LYF LS-4004 Flame 2,1198
Smartfren Andromax A36C5H A2,1182
Samsung SM-J500FN Galaxy J5,1177
Lava X1 Selfie Iris X1 Selfie,1175
Hisense I56D2G Andromax R2,1173
HTC Desire 526G,1172
Advan S7C,1162
Samsung SM-N900T Galaxy Note 3,1159
itel P41,1149
Samsung SM-P355 Galaxy Tab A,1149
Samsung SM-J105B J1 mini,1147
Lenovo PB2-670Y Phab2 Plus,1144
Lenovo A5000,1138
Advan i4D,1135
Intex Aqua Y2 Pro,1135
HTC Desire 816,1132
Intex AQUA TREND LITE,1132
Asus X00HD Zenfone 4 Max,1130
Acer Z520 Liquid Z520,1128
Lava A52,1127
LG H502 Magna,1127
Micromax Q414 Canvas Blaze 4G+,1127
Evercoss R50B Winner Y2 Power,1126
Panasonic Eluga L2,1125
Sony E5663 Xperia M5,1122
Lenovo S1a40 Vibe S1,1120
Micromax E471 Canvas Knight 2,1119
LG X230 K7 2017,1117
OPPO A33fw Neo 7S,1114
Advan S45C,1113
Lava iris 870 4G,1109
Lava Iris 505,1101
LYF LS-5506 Water 9,1101
Intex Aqua Selfie,1099
Sony D5883 Xperia Z3 Compact,1094
Samsung GT-S7392 Galaxy Trend,1084
Lenovo S660,1080
Xiaomi Mi 5X,1080
Intex AQUA AMAZE+,1077
Nokia TA-1004 8,1074
Huawei VNS-L21 P9 Lite,1072
OPPO R7sf R7s,1070
Vivo X7 Plus,1070
Lava Iris X1 Atom,1068
Tecno i5,1068
Panasonic ELUGA Prim,1057
Symphony V75,1056
Kata i1,1055
Samsung SM-J3119S J3 Pro,1055
LG D690 G3 Stylus,1053
Meitu M4,1053
Intex Aqua Trend,1052
Asus Z00LDD Zenfone 2 Laser,1051
Coolpad A8 Max,1050
Karbonn K9 Kavach 4G,1050
Samsung GT-N7000 Galaxy Note,1048
Coolpad E503 Fancy 3,1047
Xolo Era 4K,1045
Himax M1 Y13,1041
Micromax E451 Canvas Pulse 4G,1040
Intex Aqua Life III,1036
Sony E6553 Xperia Z3+,1035
Lava Iris Fuel50 Iris Fuel50,1029
Spice K601,1029
Asus Z01BDB Zenfone 3 Laser,1028
LYF LS-5008 Water 2,1024
InFocus M2,1021
Lava A68,1017
HTC Desire 326G dual sim,1014
Symphony P7,1014
Micromax E484,1013
Lava A72,1012
Polytron R2507 Rocket T3,1012
Karbonn K9 Smart 1GB,1010
Gionee P2S,1008
Lava V2s,1007
Gionee Pioneer P3,1005
Asus X003 Pegasus,999
Advan Star Mini S4K,994
Huawei MediaPad T1 7.0,993
Intex Aqua 4.5E,982
Lenovo Z90a40 Vibe Shot,981
Gionee Elife E7,978
Samsung SM-J5007 Galaxy J5,976
Micromax Q409 Supreme 6,975
Intex AQUA A4,971
Intex Aqua Power HD-4G,971
Lava X38,968
Fujitsu F-01F ARROWS NX F-01F for DoCoMo,962
Micromax YU5011 Yu Yunique 2,962
Lenovo PB1-750M PHAB,960
Samsung SM-G930V Galaxy S7,958
Samsung GT-I9200 Galaxy Mega 6.3,957
Xiaomi wt88047 Redmi 2,956
Intex Aqua Star 4G,953
Micromax P480 Canvas Tab,949
SonyEricsson L50 Xperia Z2,949
Meizu M3s,946
Micromax E457 Canvas Amaze 2,946
Micromax Q462 Canvas 5 Lite,946
Polytron R2407,940
Micromax A67 Bolt A67,936
Panasonic ELUGA I4,936
itel it1512 Wish,928
LG M400 Stylus 3,924
Sony C6902 Xperia Z1,923
Samsung SM-J330F Galaxy J3 2017,920
Huawei LUA-U21 Y3II,918
LYF LS-5503 Water 3,916
Infinix X557 Infinix HOT 4,911
Happy Mobile D-Lite,910
Lava Iris X1,909
Intex Aqua Classic,908
Swipe Elite Plus,908
Panasonic ELUGA Ray,907
Lava P7,905
Micromax Q412,904
Samsung SM-G530F Galaxy Grand Prime,903
Samsung SM-G750H Galaxy Mega 2,902
Samsung GT-I9100 Galaxy S II,899
Karbonn Smart 4G.,898
Karbonn Aura Power 4G,896
Micromax Q326 Bolt Q326,895
InFocus M535,894
Lava Iris X8,894
Vivo V1Max,892
Intex Aqua Strong 5.1,890
Intex Aqua Q7 Pro,887
Panasonic ELUGA Icon,887
Andromax I4D1G,886
Samsung GT-S6810 Galaxy Fame,886
Micromax Q355 Canvas Play,885
Micromax Q491 Amaze 4G,885
Nokia XL,885
ZTE Blade V0730 Blade A2 Plus Dual SIM TD-LTE,885
Samsung SM-J327P Galaxy J3 2017,883
Lava A71,882
Lava P7plus,881
Ziox Astra Metal 4G,880
Micromax Q402 Bharat 2 Plus,878
Lava iris80,872
Panasonic T45 T45 4G,872
Micromax A065 Bolt,871
Samsung SM-G928C Galaxy S6 Edge Plus,871
Samsung SM-J700H Galaxy J7 2015,871
Asus X013D Zenfone Go 5.5,868
Lava Iris X5 4G,864
Micromax Q394 Canvas Doodle 4,863
iVoomi Me 5,862
Panasonic P71,861
Huawei CUN-L21 Y5II,859
InFocus M370i,858
Huawei BLL-L22 GR5 (2017),856
Huawei TRT-LX2 Y7 2017,856
Samsung SM-G935T Galaxy S7 Edge,846
Samsung SM-J327T1 Galaxy J3 2017,845
YU YU 6000 Yureka Note,844
Micromax E483 Canvas Evok 4G,841
Huawei SCL-U31 Y6,837
Panasonic P77,837
Panasonic Eluga Mark,836
PiPO M3,836
Lava R1,835
